iter,loss,mbox_loss,lr
30,17.6888,16.9965,0.001
530,4.62489,4.17082,0.001
1030,3.93627,4.25654,0.001
1530,3.72132,3.18822,0.001
2030,3.07125,2.67534,0.001
2530,2.79536,2.88902,0.001
3030,2.83769,2.40487,0.001
3530,2.46288,2.22212,0.001
4030,2.47296,1.96147,0.001
4530,2.06172,2.04317,0.001
5030,2.32457,2.5322,0.001
5530,1.84722,1.61925,0.001
6030,2.07083,2.43491,0.001
6530,2.02346,1.4839,0.001
7030,1.80471,1.43813,0.001
7530,1.80917,2.48689,0.001
8030,1.78602,1.29624,0.001
8530,1.88874,2.30577,0.001
9030,1.73535,1.58529,0.001
9530,1.74505,1.84039,0.001
10030,1.65498,1.84764,0.001
10530,1.61641,1.62209,0.001
11030,1.53723,1.52164,0.001
11530,1.53471,1.31715,0.001
12030,1.83217,1.89566,0.001
12530,1.52629,1.18798,0.001
13030,1.54129,1.14794,0.001
13530,1.37638,1.17703,0.001
14030,1.42296,1.3047,0.001
14530,1.39517,0.979284,0.001
15030,1.5856,2.32536,0.001
15530,1.51242,1.4896,0.001
16030,1.27539,1.15538,0.001
16530,1.32999,1.50172,0.001
17030,1.45835,1.10057,0.001
17530,1.29922,0.80099,0.001
18030,1.36028,1.27994,0.001
18530,1.34341,1.22447,0.001
19030,1.34011,1.27291,0.001
19530,1.21377,1.07567,0.001
20030,1.51208,1.41589,0.001
20530,1.27862,1.2109,0.001
21030,1.42023,1.15576,0.001
21530,1.22041,0.882138,0.001
22030,1.27326,1.31938,0.001
22530,1.22474,1.54065,0.001
23030,1.193,1.09938,0.001
23530,1.20491,1.26538,0.001
24030,1.17244,1.53069,0.001
24530,1.27478,1.26617,0.001
25030,1.26432,1.2252,0.001
25530,1.19468,1.35229,0.001
26030,1.21367,0.936706,0.001
26530,1.19099,1.0097,0.001
27030,1.19966,0.919886,0.001
27530,1.20028,1.04321,0.001
28030,1.21686,1.31643,0.001
28530,1.32159,1.65361,0.001
29030,1.3506,1.81242,0.001
29530,1.25606,1.83772,0.001
30030,1.01631,1.42997,0.001
30530,1.13935,1.49542,0.001
31030,1.24766,1.21917,0.001
31530,1.01469,0.974225,0.001
32030,1.16724,1.26208,0.001
32530,1.18859,1.44635,0.001
33030,1.01352,1.12859,0.001
33530,1.09804,0.978943,0.001
34030,1.12343,1.18449,0.001
34530,1.13723,1.20917,0.001
35030,1.21894,1.36595,0.001
35530,1.08625,1.22398,0.001
36030,1.00639,0.919921,0.001
36530,1.08192,1.71928,0.001
37030,1.09347,0.88712,0.001
37530,1.11698,1.05356,0.001
38030,1.22575,0.718328,0.001
38530,1.12809,1.32497,0.001
39030,1.0812,0.921834,0.001
39530,1.09326,1.17304,0.001
40030,0.954157,1.02199,0.001
40530,0.961349,0.841299,0.001
41030,1.1751,1.03555,0.001
41530,1.08787,0.862825,0.001
42030,1.20223,1.19723,0.001
42530,1.03856,0.97442,0.001
43030,1.00959,0.833314,0.001
43530,1.05581,1.30289,0.001
44030,1.04455,1.15255,0.001
44530,1.17632,0.774319,0.001
45030,0.928781,0.982243,0.001
45530,1.14159,1.55198,0.001
46030,1.03427,1.146,0.001
46530,1.03145,0.91346,0.001
47030,0.993574,0.935432,0.001
47530,1.09865,0.847144,0.001
48030,1.18614,1.51199,0.001
48530,1.15008,1.13279,0.001
49030,1.01711,0.962502,0.001
49530,1.04058,0.788945,0.001
50030,1.05216,1.3454,0.001
50530,1.0666,1.1105,0.001
51030,1.05895,1.17522,0.001
51530,0.987184,0.81099,0.001
52030,0.902215,0.911758,0.001
52530,1.03412,1.20557,0.001
53030,1.13,1.15691,0.001
53530,0.86818,1.02348,0.001
54030,1.07237,1.18144,0.001
54530,0.941116,0.947383,0.001
55030,0.966024,0.994141,0.001
55530,1.09998,1.51202,0.001
56030,1.03913,1.00761,0.001
56530,0.970476,0.807183,0.001
57030,1.09472,1.0074,0.001
57530,1.363,0.763937,0.001
58030,1.0162,1.24125,0.001
58530,0.962474,1.01185,0.001
59030,1.06145,0.867528,0.001
59530,1.10885,1.57286,0.001
60030,0.92769,0.815103,0.001
60530,0.978197,1.24114,0.001
61030,1.07452,1.00786,0.001
61530,1.13699,1.00532,0.001
62030,0.924795,0.739201,0.001
62530,1.10215,0.885308,0.001
63030,1.02808,0.968014,0.001
63530,0.994539,2.25871,0.001
64030,1.05553,0.990446,0.001
64530,1.03132,1.16735,0.001
65030,0.915214,0.920387,0.001
65530,0.887966,1.10684,0.001
66030,0.899584,0.785191,0.001
66530,1.03599,1.14525,0.001
67030,0.968981,0.899237,0.001
67530,1.00457,0.877062,0.001
68030,0.891335,0.878242,0.001
68530,0.901623,0.799337,0.001
69030,0.827169,0.848243,0.001
69530,1.09824,0.833346,0.001
70030,0.948151,0.624611,0.001
70530,0.948931,1.14764,0.001
71030,0.955426,0.882857,0.001
71530,1.05558,0.87649,0.001
72030,1.0302,1.1062,0.001
72530,0.957481,0.618998,0.001
73030,0.926039,1.11475,0.001
73530,1.0945,1.00335,0.001
74030,1.07377,1.69661,0.001
74530,0.882724,1.15484,0.001
75030,0.932276,0.823695,0.001
75530,0.955942,1.24185,0.001
76030,1.10542,0.827058,0.001
76530,1.00513,1.02567,0.001
77030,1.01502,0.99343,0.001
77530,0.981944,1.2004,0.001
78030,0.964777,1.03651,0.001
78530,0.937948,0.608468,0.001
79030,0.92577,0.934431,0.001
79530,1.04633,0.767859,0.001
80030,0.981531,1.10366,0.0001
80530,0.878599,1.16598,0.0001
81030,0.817458,0.747891,0.0001
81530,0.755798,0.88073,0.0001
82030,0.790573,0.769302,0.0001
82530,0.852203,0.918474,0.0001
83030,0.776503,0.766623,0.0001
83530,0.803762,0.934839,0.0001
84030,0.843203,1.01608,0.0001
84530,0.889995,0.777282,0.0001
85030,0.801307,0.586877,0.0001
85530,0.850752,0.982149,0.0001
86030,0.941793,1.56214,0.0001
86530,0.950931,1.36389,0.0001
87030,0.839794,0.718729,0.0001
87530,0.783536,1.12485,0.0001
88030,0.78725,0.81547,0.0001
88530,0.771064,0.626384,0.0001
89030,0.912018,0.846747,0.0001
89530,0.785121,0.721905,0.0001
90030,0.888807,0.936989,0.0001
90530,0.76308,0.569205,0.0001
91030,0.792367,1.08071,0.0001
91530,0.810127,0.740115,0.0001
92030,0.849232,0.665154,0.0001
92530,0.791793,0.74134,0.0001
93030,0.750821,0.778401,0.0001
93530,0.835834,1.0637,0.0001
94030,0.712867,0.569313,0.0001
94530,0.889529,0.9595,0.0001
95030,0.846725,0.974914,0.0001
95530,0.832072,0.606203,0.0001
96030,0.86923,0.682038,0.0001
96530,0.869487,0.523181,0.0001
97030,0.750047,0.922728,0.0001
97530,0.861496,1.05522,0.0001
98030,0.652413,0.401122,0.0001
98530,0.867353,0.772132,0.0001
99030,0.842455,0.882635,0.0001
99530,0.732232,0.317999,0.0001
100030,0.714268,0.615413,1.00E-05
100530,0.931822,0.792553,1.00E-05
101030,0.730128,0.714946,1.00E-05
101530,0.739018,0.816033,1.00E-05
102030,0.820716,0.990096,1.00E-05
102530,0.733406,0.967597,1.00E-05
103030,0.952124,1.06791,1.00E-05
103530,0.759004,0.879359,1.00E-05
104030,0.734463,0.574074,1.00E-05
104530,0.900554,0.559315,1.00E-05
105030,0.846629,0.549178,1.00E-05
105530,0.80859,1.21965,1.00E-05
106030,0.724272,0.563975,1.00E-05
106530,0.729075,0.807417,1.00E-05
107030,0.783721,0.769475,1.00E-05
107530,0.700463,0.513734,1.00E-05
108030,0.795177,0.903757,1.00E-05
108530,0.842058,0.833937,1.00E-05
109030,0.832725,1.02039,1.00E-05
109530,0.845254,1.10001,1.00E-05
110030,0.852924,0.795557,1.00E-05
110530,0.737615,0.796963,1.00E-05
111030,0.733764,0.989826,1.00E-05
111530,0.656888,0.504219,1.00E-05
112030,0.796539,0.883826,1.00E-05
112530,0.855927,0.750041,1.00E-05
113030,0.859849,1.28019,1.00E-05
113530,0.905706,1.1726,1.00E-05
114030,0.925706,0.708888,1.00E-05
114530,0.91216,0.733629,1.00E-05
115030,0.818331,1.27579,1.00E-05
115530,0.768232,0.980906,1.00E-05
116030,0.720685,0.781556,1.00E-05
116530,0.720535,0.80773,1.00E-05
117030,0.742482,0.791338,1.00E-05
117530,0.815667,0.57149,1.00E-05
118030,0.858174,0.989145,1.00E-05
118530,0.640251,0.454457,1.00E-05
119030,0.854815,1.10553,1.00E-05
119530,0.876807,0.86134,1.00E-05
120030,0.797927,0.76618,1.00E-06
120530,0.731677,1.00235,1.00E-06
121030,0.68112,0.696975,1.00E-06
121530,0.79695,1.03663,1.00E-06
122030,0.830071,0.82612,1.00E-06
122530,0.771478,1.05326,1.00E-06
123030,1.0113,1.36942,1.00E-06
123530,0.82607,0.566235,1.00E-06
124030,0.94409,0.855024,1.00E-06
124530,0.781975,0.720407,1.00E-06
125030,0.800691,1.12622,1.00E-06
125530,0.869923,0.644675,1.00E-06
126030,0.78311,0.944194,1.00E-06
126530,0.785543,0.894815,1.00E-06
127030,0.695854,0.614272,1.00E-06
127530,0.768895,0.905388,1.00E-06
128030,0.777209,0.811545,1.00E-06
128530,0.805517,1.16062,1.00E-06
129030,0.66416,0.747778,1.00E-06
129530,0.785687,0.683426,1.00E-06
130030,0.887177,0.796958,1.00E-06
130530,0.777344,0.956381,1.00E-06
131030,0.782484,0.781644,1.00E-06
131530,0.704909,0.538113,1.00E-06
132030,0.770732,0.954741,1.00E-06
132530,0.78927,0.663621,1.00E-06
133030,0.775949,0.403148,1.00E-06
133530,0.781396,0.51338,1.00E-06
134030,0.756653,0.671353,1.00E-06
134530,0.782479,0.784029,1.00E-06
135030,0.783091,0.760416,1.00E-06
135530,0.897565,0.706305,1.00E-06
136030,0.72275,0.829246,1.00E-06
136530,0.766061,0.408818,1.00E-06
137030,0.780137,0.744892,1.00E-06
137530,0.739187,0.523108,1.00E-06
138030,0.810419,0.541774,1.00E-06
138530,0.731981,0.587683,1.00E-06
139030,0.774996,0.619985,1.00E-06
139530,0.685404,0.533776,1.00E-06
140030,0.733335,0.794534,1.00E-06
140530,0.730821,0.749075,1.00E-06
141030,0.779944,0.641601,1.00E-06
141530,0.776101,0.594898,1.00E-06
142030,0.654317,0.431551,1.00E-06
142530,0.770084,0.872168,1.00E-06
143030,0.710912,0.619009,1.00E-06
143530,0.819699,0.607484,1.00E-06
144030,0.667948,0.74405,1.00E-06
144530,0.783468,0.638502,1.00E-06
145030,0.724586,0.681345,1.00E-06
145530,0.846725,0.926796,1.00E-06
146030,0.852436,0.745002,1.00E-06
146530,0.701688,0.940793,1.00E-06
147030,0.816936,1.16468,1.00E-06
147530,0.826604,0.710807,1.00E-06
148030,0.754083,1.06415,1.00E-06
148530,0.703701,0.662794,1.00E-06
149030,0.738898,0.578951,1.00E-06
149530,0.758297,0.807684,1.00E-06
150030,0.798223,0.789274,1.00E-06
150530,0.746036,0.715061,1.00E-06
151030,0.641674,0.477162,1.00E-06
151530,0.869436,1.14125,1.00E-06
152030,0.838453,1.19356,1.00E-06
152530,0.720061,0.844113,1.00E-06
153030,0.70829,0.570257,1.00E-06
153530,0.803589,0.864064,1.00E-06
154030,0.837829,0.933765,1.00E-06
154530,0.767389,0.892823,1.00E-06
155030,0.86162,0.801222,1.00E-06
155530,0.762356,0.827927,1.00E-06
156030,1.06139,0.855474,1.00E-06
156530,0.849149,0.873649,1.00E-06
157030,0.87666,0.528729,1.00E-06
157530,0.671889,0.60115,1.00E-06
158030,0.637624,1.24734,1.00E-06
158530,0.774507,1.09013,1.00E-06
159030,0.75818,0.836987,1.00E-06
159530,0.77756,0.924966,1.00E-06
160030,0.744269,1.19407,1.00E-06
160530,0.653401,0.554471,1.00E-06
161030,0.743233,0.691849,1.00E-06
161530,0.748828,0.772949,1.00E-06
162030,0.643509,0.637832,1.00E-06
162530,0.730888,0.747823,1.00E-06
163030,0.677139,0.657627,1.00E-06
163530,0.825467,1.01676,1.00E-06
164030,0.785555,0.700922,1.00E-06
164530,0.757166,0.819237,1.00E-06
165030,0.71218,0.688868,1.00E-06
165530,0.883384,0.767319,1.00E-06
166030,0.887683,1.33184,1.00E-06
166530,0.867012,0.844731,1.00E-06
167030,0.75089,1.06304,1.00E-06
167530,0.74156,0.646441,1.00E-06
168030,0.769792,0.822128,1.00E-06
168530,0.772588,0.655441,1.00E-06
169030,0.780738,0.768428,1.00E-06
169530,0.747239,0.773431,1.00E-06
170030,0.808871,0.870979,1.00E-06
170530,0.796916,0.84196,1.00E-06
171030,0.789669,0.668839,1.00E-06
171530,0.621251,0.818362,1.00E-06
172030,0.813338,0.727158,1.00E-06
172530,0.87967,0.923019,1.00E-06
173030,0.828802,0.849895,1.00E-06
173530,0.800021,1.57992,1.00E-06
174030,0.698198,0.510317,1.00E-06
174530,0.852416,0.553718,1.00E-06
175030,0.892306,0.864946,1.00E-06
175530,0.817054,1.08716,1.00E-06
176030,0.710395,0.599679,1.00E-06
176530,0.714927,0.567299,1.00E-06
177030,0.622932,0.572889,1.00E-06
177530,0.756184,0.858773,1.00E-06
178030,0.773398,0.754297,1.00E-06
178530,0.695778,0.400485,1.00E-06
179030,0.747856,0.820116,1.00E-06
179530,0.792869,0.589268,1.00E-06
180030,0.767615,0.830065,1.00E-06
180530,0.946687,0.876548,1.00E-06
181030,0.838992,0.721855,1.00E-06
181530,0.808147,0.627324,1.00E-06
182030,0.797285,0.842416,1.00E-06
182530,0.699779,0.623395,1.00E-06
183030,0.753595,0.576318,1.00E-06
183530,0.847674,0.628852,1.00E-06
184030,0.714512,0.648958,1.00E-06
184530,0.842294,0.928179,1.00E-06
185030,0.710142,0.688867,1.00E-06
185530,0.844941,0.855295,1.00E-06
186030,0.783502,0.902668,1.00E-06
186530,0.768112,0.608073,1.00E-06
187030,0.887716,0.845224,1.00E-06
187530,0.846565,0.97362,1.00E-06
188030,0.895207,1.20056,1.00E-06
188530,0.887055,0.831459,1.00E-06
189030,0.720026,0.578768,1.00E-06
189530,0.762607,0.575537,1.00E-06
190030,0.736995,0.508091,1.00E-06
190530,0.797939,0.948803,1.00E-06
191030,0.91008,0.622696,1.00E-06
191530,0.731662,0.477983,1.00E-06
192030,0.765013,0.695271,1.00E-06
192530,0.733781,0.600131,1.00E-06
193030,0.825472,0.845498,1.00E-06
193530,0.804102,1.02052,1.00E-06
194030,0.790544,1.0329,1.00E-06
194530,0.802422,1.31982,1.00E-06
195030,0.773191,0.751329,1.00E-06
195530,0.834208,0.645415,1.00E-06
196030,0.761206,0.649342,1.00E-06
196530,0.751488,0.713284,1.00E-06
197030,0.829217,0.835771,1.00E-06
197530,0.838762,0.844103,1.00E-06
198030,0.786889,0.891314,1.00E-06
198530,0.779189,0.953179,1.00E-06
199030,0.824332,0.669822,1.00E-06
199530,0.711113,0.42469,1.00E-06
200030,0.706942,0.795712,1.00E-06
200530,0.800395,0.685554,1.00E-06
201030,0.680541,0.619618,1.00E-06
201530,0.91255,0.99161,1.00E-06
202030,0.746621,0.963317,1.00E-06
202530,0.900524,0.757753,1.00E-06
203030,0.812329,1.10989,1.00E-06
203530,0.913423,0.668777,1.00E-06
204030,0.857304,0.567042,1.00E-06
204530,0.725156,0.960613,1.00E-06
205030,0.827282,0.668306,1.00E-06
205530,0.706119,0.671714,1.00E-06
206030,0.887852,0.883988,1.00E-06
206530,0.705137,0.500428,1.00E-06
207030,0.884418,1.04238,1.00E-06
207530,0.85608,0.756835,1.00E-06
208030,0.911279,0.669604,1.00E-06
208530,0.755961,0.665469,1.00E-06
209030,0.715842,0.60915,1.00E-06
209530,0.735788,0.597022,1.00E-06
210030,0.872276,0.931358,1.00E-06
210530,0.658718,0.467787,1.00E-06
211030,0.745164,0.571408,1.00E-06
211530,0.904609,0.998082,1.00E-06
212030,0.833195,0.814597,1.00E-06
212530,0.801034,0.912545,1.00E-06
213030,0.885229,0.804831,1.00E-06
213530,0.867801,0.545133,1.00E-06
214030,0.918603,0.883466,1.00E-06
214530,0.846601,0.743058,1.00E-06
215030,0.754672,0.592588,1.00E-06
215530,0.807946,0.659472,1.00E-06
216030,0.625289,0.775053,1.00E-06
216530,0.811033,0.78677,1.00E-06
217030,0.856222,0.819994,1.00E-06
